session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train3,picture_file
train3,list3,1,Bild_gruen,Bild,gruen,5,LFP,SN,cblock,furniture,Bild_gross,bild_gross.png
train3,list3,2,Blume_rot,Blume,rot,7,HFP,SN,cblock,nature,Blume_klein,blume_klein.png
train3,list3,3,Brief_alt,Brief,alt,9,HFP,SN,cblock,tool,Brief_schwarz,brief_schwarz.png
train3,list3,4,Brot_neu,Brot,neu,11,LFP,SP,cblock,food,Brot_neu,brot_neu.png
train3,list3,3,Bus_neu,Bus,neu,14,HFP,SP,cblock,transportation,Bus_neu,bus_neu.png
train3,list3,6,Ei_weiss,Ei,weiss,16,HFP,SP,cblock,food,Ei_weiss,ei_weiss.png
train3,list3,7,Fahrrad_klein,Fahrrad,klein,19,LFP,SN,cblock,transportation,Fahrrad_weiss,fahrrad_weiss.png
train3,list3,8,Flagge_alt,Flagge,alt,21,LFP,SP,cblock,etc,Flagge_alt,flagge_alt.png
train3,list3,9,Glas_rot,Glas,rot,25,LFP,SN,cblock,tool,Glas_klein,glas_klein.png
train3,list3,10,Herd_alt,Herd,alt,28,LFP,SP,cblock,tool,Herd_alt,herd_alt.png
train3,list3,11,Hose_klein,Hose,klein,29,LFP,SP,cblock,clothing,Hose_klein,hose_klein.png
train3,list3,12,Kerze_alt,Kerze,alt,33,LFP,SN,cblock,etc,Kerze_weiss,kerze_weiss.png
train3,list3,13,Krone_neu,Krone,neu,36,HFP,SP,cblock,etc,Krone_neu,krone_neu.png
train3,list3,14,Lampe_rot,Lampe,rot,37,HFP,SP,cblock,furniture,Lampe_rot,lampe_rot.png
train3,list3,15,Mantel_alt,Mantel,alt,39,LFP,SP,cblock,clothing,Mantel_alt,mantel_alt.png
train3,list3,16,Mauer_alt,Mauer,alt,40,HFP,SN,cblock,building,Mauer_weiss,mauer_weiss.png
train3,list3,17,Paket_alt,Paket,alt,42,LFP,SN,cblock,etc,Paket_rot,paket_rot.png
train3,list3,18,Palast_neu,Palast,neu,43,LFP,SN,cblock,building,Palast_klein,palast_klein.png
train3,list3,19,Pfeil_gruen,Pfeil,gruen,44,HFP,SP,cblock,etc,Pfeil_gruen,pfeil_gruen.png
train3,list3,20,Rad_neu,Rad,neu,46,HFP,SN,cblock,etc,Rad_schwarz,rad_schwarz.png
train3,list3,21,Rock_schwarz,Rock,schwarz,47,HFP,SP,cblock,clothing,Rock_schwarz,rock_schwarz.png
train3,list3,22,Schale_klein,Schale,klein,49,HFP,SN,cblock,tool,Schale_gruen,schale_gruen.png
train3,list3,23,Stadion_gruen,Stadion,gruen,51,LFP,SP,cblock,building,Stadion_gruen,stadion_gruen.png
train3,list3,24,Tasse_gross,Tasse,gross,52,HFP,SN,cblock,tool,Tasse_rot,tasse_rot.png
train3,list3,25,Teppich_rot,Teppich,rot,53,HFP,SP,cblock,furniture,Teppich_rot,teppich_rot.png
train3,list3,26,Tomate_gruen,Tomate,gruen,55,HFP,SP,cblock,vegetable,Tomate_gruen,tomate_gruen.png
train3,list3,27,Topf_gross,Topf,gross,56,HFP,SP,cblock,tool,Topf_gross,topf_gross.png
train3,list3,28,Tuer_schwarz,Tuer,schwarz,57,LFP,SN,cblock,building,Tuer_rot,tuer_rot.png
train3,list3,29,Zeitung_alt,Zeitung,alt,62,HFP,SP,cblock,etc,Zeitung_alt,zeitung_alt.png
train3,list3,30,Zug_alt,Zug,alt,64,LFP,SN,cblock,transportation,Zug_schwarz,zug_schwarz.png
train3,list3,31,Zweig_gruen,Zweig,gruen,65,HFP,SN,cblock,nature,Zweig_neu,zweig_neu.png
train3,list3,32,Zwiebel_rot,Zwiebel,rot,66,HFP,SP,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
