session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train4,picture_file
train4,list3,34,Ball_rot,Ball,rot,2,HFP,SP,ncblock,tool,Ball_rot,ball_rot.png
train4,list3,35,Baum_schwarz,Baum,schwarz,3,LFP,SN,ncblock,nature,Baum_gross,baum_gross.png
train4,list3,36,Blatt_schwarz,Blatt,schwarz,6,LFP,SP,ncblock,nature,Blatt_schwarz,blatt_schwarz.png
train4,list3,37,Blume_rot,Blume,rot,7,HFP,SN,ncblock,nature,Blume_gross,blume_gross.png
train4,list3,38,Bombe_klein,Bombe,klein,8,HFP,SN,ncblock,etc,Bombe_rot,bombe_rot.png
train4,list3,39,Brille_klein,Brille,klein,10,LFP,SP,ncblock,etc,Brille_klein,brille_klein.png
train4,list3,40,Buch_gruen,Buch,gruen,12,LFP,SP,ncblock,etc,Buch_gruen,buch_gruen.png
train4,list3,41,Ei_weiss,Ei,weiss,16,HFP,SP,ncblock,food,Ei_weiss,ei_weiss.png
train4,list3,42,Fahrrad_klein,Fahrrad,klein,19,LFP,SN,ncblock,transportation,Fahrrad_gruen,fahrrad_gruen.png
train4,list3,43,Feder_gross,Feder,gross,20,LFP,SN,ncblock,etc,Feder_gruen,feder_gruen.png
train4,list3,44,Flugzeug_neu,Flugzeug,neu,22,HFP,SP,ncblock,transportation,Flugzeug_neu,flugzeug_neu.png
train4,list3,45,Geschenk_neu,Geschenk,neu,24,LFP,SN,ncblock,etc,Geschenk_rot,geschenk_rot.png
train4,list3,46,Hemd_klein,Hemd,klein,27,LFP,SN,ncblock,clothing,Hemd_neu,hemd_neu.png
train4,list3,47,Herd_alt,Herd,alt,28,LFP,SP,ncblock,tool,Herd_alt,herd_alt.png
train4,list3,48,Kaffee_neu,Kaffee,neu,31,LFP,SN,ncblock,food,Kaffee_gross,kaffee_gross.png
train4,list3,49,Kerze_alt,Kerze,alt,33,LFP,SN,ncblock,etc,Kerze_gross,kerze_gross.png
train4,list3,50,Krone_neu,Krone,neu,36,HFP,SP,ncblock,etc,Krone_neu,krone_neu.png
train4,list3,51,Mauer_alt,Mauer,alt,40,HFP,SN,ncblock,building,Mauer_rot,mauer_rot.png
train4,list3,52,Nest_klein,Nest,klein,41,HFP,SP,ncblock,building,Nest_klein,nest_klein.png
train4,list3,53,Palast_neu,Palast,neu,43,LFP,SN,ncblock,building,Palast_weiss,palast_weiss.png
train4,list3,54,Schuh_weiss,Schuh,weiss,50,LFP,SP,ncblock,clothing,Schuh_weiss,schuh_weiss.png
train4,list3,55,Tisch_alt,Tisch,alt,54,LFP,SP,ncblock,furniture,Tisch_alt,tisch_alt.png
train4,list3,56,Topf_gross,Topf,gross,56,HFP,SP,ncblock,tool,Topf_gross,topf_gross.png
train4,list3,57,Turm_alt,Turm,alt,58,HFP,SN,ncblock,building,Turm_rot,turm_rot.png
train4,list3,58,Zeitung_alt,Zeitung,alt,62,HFP,SP,ncblock,etc,Zeitung_alt,zeitung_alt.png
train4,list3,59,Zug_alt,Zug,alt,64,LFP,SN,ncblock,transportation,Zug_weiss,zug_weiss.png
train4,list3,60,Brot_neu,Brot,neu,11,LFP,SP,ncblock,food,Brot_neu,brot_neu.png
train4,list3,61,Bus_neu,Bus,neu,14,HFP,SP,ncblock,transportation,Bus_neu,bus_neu.png
train4,list3,62,Kamera_neu,Kamera,neu,32,HFP,SN,ncblock,tool,Kamera_rot,kamera_rot.png
train4,list3,63,Kleid_gross,Kleid,gross,35,LFP,SN,ncblock,clothing,Kleid_alt,kleid_alt.png
train4,list3,64,Mann_weiss,Mann,weiss,38,HFP,SN,ncblock,human,Mann_rot,mann_rot.png
train4,list3,65,Uhr_gross,Uhr,gross,59,HFP,SP,ncblock,tool,Uhr_gross,uhr_gross.png
train4,list3,66,Wueste_gross,Wueste,gross,61,HFP,SN,ncblock,nature,Wueste_weiss,Wueste_weiss.png
